player_name,team_abbr,opp_abbr,salary,position,roster_position,game_key,dk_id,name_plus_id,slate_date,slate_key,reason,source_name
Tayton Conerway,IND,MINN,4300,G,G/UTIL,MINN@IU,42168729,Tayton Conerway (42168729),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Trey Utter,SMU,MIA-FL,3000,G,G/UTIL,MIA@SMU,42169093,Trey Utter (42169093),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Tryce Grensing,IND,MINN,3000,G,G/UTIL,MINN@IU,42169117,Tryce Grensing (42169117),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Jaziah Harper,MD,WISC,3000,G/F,G/F/UTIL,UMD@WISC,42169167,Jaziah Harper (42169167),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Nick Blake,MD,WISC,3000,G,G/UTIL,UMD@WISC,42169077,Nick Blake (42169077),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Jace Rayl,PURDUE,NW,3000,G,G/UTIL,PUR@NW,42169131,Jace Rayl (42169131),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Raleigh Burgess,PURDUE,NW,3000,F,F/UTIL,PUR@NW,42168976,Raleigh Burgess (42168976),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Sam King,PURDUE,NW,3000,F,F/UTIL,PUR@NW,42169001,Sam King (42169001),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Jonah Goorin,USC,WASH,3000,G,G/UTIL,USC@UW,42169059,Jonah Goorin (42169059),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Patrick O'Brien,USC,WASH,3000,G,G/UTIL,USC@UW,42169057,Patrick O'Brien (42169057),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Maximo Garcia-Plata,FLAST,PITT,3000,G,G/UTIL,FSU@PITT,42169103,Maximo Garcia-Plata (42169103),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Andrej Acimovic,IND,MINN,3000,F,F/UTIL,MINN@IU,42168962,Andrej Acimovic (42168962),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Nico Onyekwere,VILL,DEPAUL,3400,F,F/UTIL,VU@DPU,42168832,Nico Onyekwere (42168832),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Jonas Johnson,DEPAUL,VILL,3000,F,F/UTIL,VU@DPU,42168997,Jonas Johnson (42168997),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Niccolo Kalischer-Stork,SMU,MIA-FL,3000,G,G/UTIL,MIA@SMU,42169095,Niccolo Kalischer-Stork (42169095),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Ryan Cornish,USC,WASH,3000,G,G/UTIL,USC@UW,42169162,Ryan Cornish (42169162),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Amarion Dickerson,USC,WASH,3800,G/F,G/F/UTIL,USC@UW,42168781,Amarion Dickerson (42168781),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Myles Rice,MD,WISC,3700,G,G/UTIL,UMD@WISC,42168794,Myles Rice (42168794),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Lathan Sommerville,WASH,USC,3800,F,F/UTIL,USC@UW,42168775,Lathan Sommerville (42168775),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Liam Murphy,PURDUE,NW,3000,F,F/UTIL,PUR@NW,42169015,Liam Murphy (42169015),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Braden Pierce,VILL,DEPAUL,3100,F,F/UTIL,VU@DPU,42168873,Braden Pierce (42168873),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Zach Kinziger,WISC,MD,3000,G,G/UTIL,UMD@WISC,42169155,Zach Kinziger (42169155),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Pharrel Payne,MD,WISC,8000,F,F/UTIL,UMD@WISC,42168539,Pharrel Payne (42168539),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
B.J. Edwards,SMU,MIA-FL,7400,G,G/UTIL,MIA@SMU,42168569,B.J. Edwards (42168569),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
JJ White,BAYLOR,HOU,4600,G,G/UTIL,BAY@UH,42168708,JJ White (42168708),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Amsal Delalic,DEPAUL,VILL,3000,G,G/UTIL,VU@DPU,42168928,Amsal Delalic (42168928),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Andre Iguodala II,BAYLOR,HOU,3000,G/F,G/F/UTIL,BAY@UH,42168984,Andre Iguodala II (42168984),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Brit Burden,USC,WASH,3000,F,F/UTIL,USC@UW,42168968,Brit Burden (42168968),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Bryce Jackson,HOU,BAYLOR,3000,G,G/UTIL,BAY@UH,42169063,Bryce Jackson (42169063),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Cedric Lath,HOU,BAYLOR,3000,F,F/UTIL,BAY@UH,42169033,Cedric Lath (42169033),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Christian Nitu,WASH,USC,3000,F,F/UTIL,USC@UW,42168920,Christian Nitu (42168920),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Desmond Claude,WASH,USC,3000,G,G/UTIL,USC@UW,42168902,Desmond Claude (42168902),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Isaiah Medina,DEPAUL,VILL,3000,F,F/UTIL,VU@DPU,42168926,Isaiah Medina (42168926),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
JJ Mandaquit,WASH,USC,3000,G,G/UTIL,USC@UW,42168904,JJ Mandaquit (42168904),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
James Goodis,BAYLOR,HOU,3000,G,G/UTIL,BAY@UH,42169065,James Goodis (42169065),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Jasen Lopez,FLAST,PITT,3000,G,G/UTIL,FSU@PITT,42168889,Jasen Lopez (42168889),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Jasir Rencher,WASH,USC,3000,F,F/UTIL,USC@UW,42168906,Jasir Rencher (42168906),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Jeremy Lorenz,DEPAUL,VILL,3000,F,F/UTIL,VU@DPU,42168922,Jeremy Lorenz (42168922),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Jordan Rayford,IND,MINN,3000,G,G/UTIL,MINN@IU,42168934,Jordan Rayford (42168934),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Juslin Bodo Bodo,BAYLOR,HOU,3000,F,F/UTIL,BAY@UH,42168987,Juslin Bodo Bodo (42168987),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Kordel Jefferson,HOU,BAYLOR,3000,G,G/UTIL,BAY@UH,42168918,Kordel Jefferson (42168918),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Lukas Sotell,MD,WISC,3000,G,G/UTIL,UMD@WISC,42169085,Lukas Sotell (42169085),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Mady Traore,WASH,USC,3000,F,F/UTIL,USC@UW,42169061,Mady Traore (42169061),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Maikcol Perez,BAYLOR,HOU,3000,F,F/UTIL,BAY@UH,42168991,Maikcol Perez (42168991),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Marcus Allen,MIA-FL,SMU,3000,G/F,G/F/UTIL,MIA@SMU,42169159,Marcus Allen (42169159),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Mayo Soyoye,BAYLOR,HOU,3000,F,F/UTIL,BAY@UH,42168989,Mayo Soyoye (42168989),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Rakease Passmore,MD,WISC,3000,G,G/UTIL,UMD@WISC,42168952,Rakease Passmore (42168952),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Rodney Rice,USC,WASH,3000,G,G/UTIL,USC@UW,42168950,Rodney Rice (42168950),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Treyvon Maddox,MIA-FL,SMU,3000,F,F/UTIL,MIA@SMU,42169170,Treyvon Maddox (42169170),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Wade Chiddick,VILL,DEPAUL,3000,G,G/UTIL,VU@DPU,42169021,Wade Chiddick (42169021),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Will Kuykendall,BAYLOR,HOU,3000,G,G/UTIL,BAY@UH,42169145,Will Kuykendall (42169145),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Xavier Osceola,FLAST,PITT,3000,G,G/UTIL,FSU@PITT,42169139,Xavier Osceola (42169139),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Darius Acuff,ARK,TEX,9900,G,G/UTIL,TEX@ARK,42168490,Darius Acuff Jr. (42168490),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Nigel James,MARQ,PROV,10000,G,G/UTIL,MARQ@PROV,42168488,Nigel James Jr. (42168488),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Jaron Pierre,SMU,MIA-FL,7300,G,G/UTIL,MIA@SMU,42168573,Jaron Pierre Jr. (42168573),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Robert McCray,FLAST,PITT,8300,G,G/UTIL,FSU@PITT,42168524,Robert McCray V (42168524),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Billy Richmond,ARK,TEX,8100,G/F,G/F/UTIL,TEX@ARK,42168532,Billy Richmond III (42168532),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Wesley Yates,WASH,USC,5400,G,G/UTIL,USC@UW,42168656,Wesley Yates III (42168656),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Chris Cenac,HOU,BAYLOR,6300,F,F/UTIL,BAY@UH,42168612,Chris Cenac Jr. (42168612),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Ernest Udeh,MIA-FL,SMU,7400,F,F/UTIL,MIA@SMU,42168565,Ernest Udeh Jr. (42168565),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Corey Floyd,PROV,MARQ,4200,G,G/UTIL,MARQ@PROV,42168735,Corey Floyd Jr. (42168735),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
