Pos,Team,Player,Salary,projOwn%,actualOwn%,Diff,Proj,Scored,dk_id,dk_player_name,dk_name_plus_id,dk_team_abbr,dk_salary,dk_slate_date,dk_game_key,salary_diff,candidate_count,best_tie_count,match_method,match_status
G,,Fletcher Loyer,"$5,700",4.20%,2.97%,-1.20%,23.46,17.5,42168636,Fletcher Loyer,Fletcher Loyer (42168636),PUR,5700,2026-03-04,PUR@NW,0.0,5,1,exact_name,matched
G,,Chase Ross,"$7,800",3.55%,0%,0%,24.35,17.5,42168547,Chase Ross,Chase Ross (42168547),MARQ,7800,2026-03-04,MARQ@PROV,0.0,2,1,exact_name,matched
F,,Collin Metcalf,"$4,200",1.05%,0%,0%,13.22,17.5,42168737,Collin Metcalf,Collin Metcalf (42168737),UMD,4200,2026-03-04,UMD@WISC,0.0,4,1,exact_name,matched
G,,CJ Gunn,"$5,600",7.50%,0%,0%,24.84,17.25,42168640,CJ Gunn,CJ Gunn (42168640),DPU,5600,2026-03-04,VU@DPU,0.0,1,1,exact_name,matched
G,,Noam Dovrat,"$3,300",0%,0%,0%,0.0,17.25,42168838,Noam Dovrat,Noam Dovrat (42168838),MIA,3300,2026-03-04,MIA@SMU,0.0,2,1,exact_name,matched
G,,Chendall Weaver,"$4,100",0.80%,0%,0%,13.94,17.0,42168753,Chendall Weaver,Chendall Weaver (42168753),TEX,4100,2026-03-04,TEX@ARK,0.0,4,1,exact_name,matched
F,,Garrett Sundra,"$3,300",0.50%,0%,0%,8.45,17.0,42168850,Garrett Sundra,Garrett Sundra (42168850),ND,3300,2026-03-04,STAN@ND,0.0,1,1,exact_name,matched
F,,Arrinten Page,"$5,100",9.25%,40%,30.80%,21.45,16.75,42168672,Arrinten Page,Arrinten Page (42168672),NW,5100,2026-03-04,PUR@NW,0.0,1,1,exact_name,matched
G,,Obi Agbim,"$5,200",5.90%,0%,0%,22.2,16.75,42168664,Obi Agbim,Obi Agbim (42168664),BAY,5200,2026-03-04,BAY@UH,0.0,3,1,exact_name,matched
F,,Solomon Washington,"$8,600",3.55%,0%,0%,33.76,16.5,42168511,Solomon Washington,Solomon Washington (42168511),UMD,8600,2026-03-04,UMD@WISC,0.0,4,1,exact_name,matched
G,,Tre Norman,"$3,300",2.65%,0%,0%,5.14,16.5,42168840,Tre Norman,Tre Norman (42168840),MARQ,3300,2026-03-04,MARQ@PROV,0.0,2,1,exact_name,matched
G,,Jordan Marsh,"$3,400",1.65%,0.57%,-1.10%,6.87,16.5,42168830,Jordan Marsh,Jordan Marsh (42168830),USC,3400,2026-03-04,USC@UW,0.0,3,1,exact_name,matched
G,,Nick Dorn,"$4,300",3.15%,0%,0%,11.07,16.25,42168727,Nick Dorn,Nick Dorn (42168727),IU,4300,2026-03-04,MINN@IU,0.0,3,1,exact_name,matched
F,,Alex Steen,"$5,100",0.50%,0.69%,0.20%,16.49,16.25,42168670,Alex Steen,Alex Steen (42168670),FSU,5100,2026-03-04,FSU@PITT,0.0,1,1,exact_name,matched
G,,Martin Somerville,"$5,100",14.90%,0%,0%,21.47,16.0,42168674,Martin Somerville,Martin Somerville (42168674),FSU,5100,2026-03-04,FSU@PITT,0.0,1,1,exact_name,matched
G,,Logan Imes,"$5,000",8.75%,0%,0%,19.55,16.0,42168676,Logan Imes,Logan Imes (42168676),ND,5000,2026-03-04,STAN@ND,0.0,1,1,exact_name,matched
G,,Omari Witherspoon,"$5,400",2.60%,5.37%,2.80%,21.36,15.5,42168652,Omari Witherspoon,Omari Witherspoon (42168652),PITT,5400,2026-03-04,FSU@PITT,0.0,2,1,exact_name,matched
F,,Shelton Henderson,"$7,000",2.95%,0%,0%,28.27,15.25,42168585,Shelton Henderson,Shelton Henderson (42168585),MIA,7000,2026-03-04,MIA@SMU,0.0,2,1,exact_name,matched
F,,Grayson Grove,"$5,800",19.95%,16.46%,-3.50%,23.84,14.5,42168634,Grayson Grove,Grayson Grove (42168634),MINN,5800,2026-03-04,MINN@IU,0.0,2,1,exact_name,matched
F,,Roman Siulepa,"$6,100",13.50%,10.74%,-2.80%,25.39,14.5,42168620,Roman Siulepa,Roman Siulepa (42168620),PITT,6100,2026-03-04,FSU@PITT,0.0,2,1,exact_name,matched
F,,Ben Gold,"$6,200",7.10%,0.91%,-6.20%,20.1,14.0,42168616,Ben Gold,Ben Gold (42168616),MARQ,6200,2026-03-04,MARQ@PROV,0.0,2,1,exact_name,matched
F,,Austin Rapp,"$4,700",2.65%,0%,0%,15.62,13.75,42168698,Austin Rapp,Austin Rapp (42168698),WISC,4700,2026-03-04,UMD@WISC,0.0,3,1,exact_name,matched
G,,Layden Blocker,"$5,500",3.85%,0%,0%,19.33,13.5,42168650,Layden Blocker,Layden Blocker (42168650),DPU,5500,2026-03-04,VU@DPU,0.0,1,1,exact_name,matched
F,,Chris Cenac Jr.,"$6,300",9.15%,5.14%,-4%,24.3,13.25,42168612,Chris Cenac Jr.,Chris Cenac Jr. (42168612),UH,6300,2026-03-04,BAY@UH,0.0,5,1,exact_name,matched
F,,Oswin Erhunmwunse,"$6,600",4.40%,5.37%,1%,24.36,12.5,42168602,Oswin Erhunmwunse,Oswin Erhunmwunse (42168602),PROV,6600,2026-03-04,MARQ@PROV,0.0,1,1,exact_name,matched
G,,Stefan Vaaks,"$7,500",2.60%,0%,0%,20.01,12.25,42168561,Stefan Vaaks,Stefan Vaaks (42168561),PROV,7500,2026-03-04,MARQ@PROV,0.0,1,1,exact_name,matched
